Model Year,Mfr Name,Division,Carline,Eng Displ,# Cyl,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify.,Carline Class Desc
2015,Mercedes-Benz,Mercedes-Benz,C 400 4MATIC,3,6,21,29,24,Gasoline (Premium Unleaded Required),2400,2400,Compact Cars
2015,Mercedes-Benz,Mercedes-Benz,CLA 250,2,4,26,38,30,Gasoline (Premium Unleaded Required),1900,1900,Compact Cars
2015,Mercedes-Benz,Mercedes-Benz,CLA 250 4MATIC,2,4,24,33,27,Gasoline (Premium Unleaded Required),2100,2100,Compact Cars
2015,Mercedes-Benz,Mercedes-Benz,CLA 250 4MATIC,2,4,24,33,27,Gasoline (Premium Unleaded Required),2100,2100,Compact Cars
2015,Mercedes-Benz,Mercedes-Benz,CLA 45 AMG 4MATIC,2,4,23,31,26,Gasoline (Premium Unleaded Required),2200,2200,Compact Cars
2015,Mercedes-Benz,Mercedes-Benz,CLS 400,3,6,20,30,24,Gasoline (Premium Unleaded Required),2400,2400,Compact Cars
2015,Mercedes-Benz,Mercedes-Benz,CLS 400 4MATIC,3,6,19,26,22,Gasoline (Premium Unleaded Required),2600,2600,Compact Cars
2015,Mercedes-Benz,Mercedes-Benz,CLS 550,4.7,8,17,26,21,Gasoline (Premium Unleaded Required),2700,2700,Compact Cars
2015,Mercedes-Benz,Mercedes-Benz,CLS 550 4MATIC,4.7,8,17,24,19,Gasoline (Premium Unleaded Required),3000,3000,Compact Cars
2015,Mercedes-Benz,Mercedes-Benz,CLS 63 AMG S 4MATIC,5.5,8,16,22,18,Gasoline (Premium Unleaded Required),3150,3150,Compact Cars
2015,Mercedes-Benz,Mercedes-Benz,S 550 4MATIC (coupe),4.7,8,16,24,19,Gasoline (Premium Unleaded Required),3000,3000,Compact Cars
2015,Mercedes-Benz,Mercedes-Benz,S 63 AMG 4MATIC (coupe),5.5,8,15,23,18,Gasoline (Premium Unleaded Required),3150,3150,Compact Cars
2015,Mercedes-Benz,Mercedes-Benz,S 65 AMG (coupe),6,12,13,20,15,Gasoline (Premium Unleaded Required),3800,3800,Compact Cars
2015,BMW,Mini,Mini Cooper Countryman,1.6,4,25,30,27,Gasoline (Premium Unleaded Recommended),2100,2100,Compact Cars
2015,BMW,Mini,Mini Cooper Countryman,1.6,4,27,34,30,Gasoline (Premium Unleaded Recommended),1900,1900,Compact Cars
2015,BMW,Mini,Mini Cooper Paceman,1.6,4,25,30,27,Gasoline (Premium Unleaded Recommended),2100,2100,Compact Cars
2015,BMW,Mini,Mini Cooper Paceman,1.6,4,27,34,30,Gasoline (Premium Unleaded Recommended),1900,1900,Compact Cars
2015,BMW,Mini,Mini Cooper S Countryman,1.6,4,25,32,28,Gasoline (Premium Unleaded Recommended),2050,2050,Compact Cars
2015,BMW,Mini,Mini Cooper S Countryman,1.6,4,26,32,29,Gasoline (Premium Unleaded Recommended),1950,1950,Compact Cars
2015,BMW,Mini,Mini Cooper S Countryman All4,1.6,4,23,30,26,Gasoline (Premium Unleaded Recommended),2200,2200,Compact Cars
2015,BMW,Mini,Mini Cooper S Countryman All4,1.6,4,25,31,27,Gasoline (Premium Unleaded Recommended),2100,2100,Compact Cars
2015,BMW,Mini,Mini Cooper S Paceman,1.6,4,25,32,28,Gasoline (Premium Unleaded Recommended),2050,2050,Compact Cars
2015,BMW,Mini,Mini Cooper S Paceman,1.6,4,26,32,29,Gasoline (Premium Unleaded Recommended),1950,1950,Compact Cars
